nome_orgao,id
ADAF,76
ADS,445
ALFREDO DA MATA,92
AMAZONPREV,127
ARSAM,93
CASA CIVIL DO GOVERNO,77
CASA MILITAR,94
CB-CIVIS,95
CBMAM,96
CETAM,74
CGE,75
CGL,97
DETRAN,98
ERGSP,99
FAPEAM,100
FCECON,101
FEH,86
FEI,396
FHAJ,102
FHEMOAM,103
FMT-AM,104
FUNDAÇÃO AMAZONPREV,87
FUNDAÇÃO VILA OLIMPICA,105
FUNTEC,106
FVS,17
IDAM,107
IMPRENSA OFICIAL,108
IPAAM,109
IPEM-AM,110
JUCEA,111
OUVIDORIA GERAL,112
PENSIONISTAS,128
PGE,80
PM-ATIVOS,113
PM-CIVIS,114
POLICIA CIVIL,115
PRODAM,136
SEAD,90
SEAD-PENSAO ESPECIAL I,129
SEAD-PENSAO ESPECIAL II,133
SEAD-PENSÃO HANSENIANOS,132
SEAP,73
SEAS,82
SEC,126
SECOM,72
SEDUC,91
SEFAZ,89
SEIND,22
SEINFRA,116
SEJEL,117
SEJUSC,84
SEMA,81
SEPED,118
SEPLANCTI,83
SEPROR,119
SERGB,79
SERIRA,397
SETRAB,120
SNPH,121
SPF,122
SRMM,71
SSP,123
SUHAB,124
SUSAM,88
UEA,125
UGPE,85
VICE-GOVERNADORIA,78
